ORF	label
YDL014W	ribi
YLR197W	ribi
YOR310C	ribi
YEL026W	ribi
YLR175W	ribi
YHR089C	ribi
YDL208W	ribi
YHR072W-A	ribi
YNL124W	ribi
YIL104C	ribi
YHR148W	ribi
YNL075W	ribi
YJR002W	ribi
YER127W	ribi
YCL031C	ribi
YCR057C	ribi
YDL148C	ribi
YDL153C	ribi
YDR324C	ribi
YDR398W	ribi
YDR449C	ribi
YER082C	ribi
YGR128C	ribi
YHR196W	ribi
YJL109C	ribi
YKL099C	ribi
YLR129W	ribi
YLR222C	ribi
YML093W	ribi
YMR093W	ribi
YOR078W	ribi
YPL126W	ribi
YJL069C	ribi
YPR144C	ribi
YBL004W	ribi
YLR409C	ribi
YGR090W	ribi
YOR004W	ribi
YDR339C	ribi
YIL091C	ribi
YKR060W	ribi
YJL033W	ribi
YMR290C	ribi
YHR065C	ribi
YHR169W	ribi
YGL171W	ribi
YGL120C	ribi
YMR128W	ribi
YKL078W	ribi
YDR021W	ribi
YPL217C	ribi
YMR239C	ribi
YOL080C	ribi
YKL149C	ribi
YIL035C	ribi
YOR061W	ribi
YGL019W	ribi
YOR039W	ribi
YDR299W	ribi
YHR052W	ribi
YLR003C	ribi
YLR186W	ribi
YNR054C	ribi
YNL308C	ribi
YCL059C	ribi
YPR112C	ribi
YNL132W	ribi
YGR159C	ribi
YGR145W	ribi
YDL213C	ribi
YJL010C	ribi
YGR280C	ribi
YLR196W	ribi
YOL010W	ribi
YMR229C	ribi
YPR137W	ribi
YPL012W	ribi
YOR287C	ribi
YMR269W	ribi
YLL011W	ribi
YPL204W	ribi
YOR119C	ribi
YNL207W	ribi
YPL266W	ribi
YCR047C	ribi
YBR247C	ribi
YKL143W	ribi
YOR056C	ribi
YOR145C	ribi
YLR293C	ribi
YOR185C	ribi
YDL166C	ribi
YDL060W	ribi
YLR435W	ribi
YOR006C	ribi
YOL022C	ribi
YGR218W	ribi
YLR347C	ribi
YBR017C	ribi
YER110C	ribi
YMR308C	ribi
YJR132W	ribi
YDR395W	ribi
YGL241W	ribi
YAL026C	ribi
YLR192C	ribi
YBL056W	ribi
YER089C	ribi
YGR081C	ribi
YDR091C	ribi
YNL112W	ribi
YMR290C	ribi
YBR142W	ribi
YLL008W	ribi
YKR024C	ribi
YNR038W	ribi
YDL031W	ribi
YFL002C	ribi
YLR276C	ribi
YGL078C	ribi
YJL050W	ribi
YER006W	ribi
YNR053C	ribi
YPL093W	ribi
YGL099W	ribi
YNL163C	ribi
YMR285C	ribi
YLR059C	ribi
YGR276C	ribi
YLR107W	ribi
YGL173C	ribi
YOR048C	ribi
YNL221C	ribi
YNL282W	ribi
YBR257W	ribi
YAL033W	ribi
YGR030C	ribi
YBR167C	ribi
YBL018C	ribi
YHR062C	ribi
YLR145W	ribi
YDR478W	ribi
YPL204W	ribi
YLL035W	ribi
YER036C	ribi
YDR101C	ribi
YJL122W	ribi
YNL227C	ribi
YPR016C	ribi
YLL024C	ribi
YAL005C	ribi
YER103W	ribi
YBL075C	ribi
YNL209W	ribi
YDL229W	ribi
YKL009W	ribi
YKL186C	ribi
YHR170W	ribi
YPL169C	ribi
YLR293C	ribi
YOR185C	ribi
YBR267W	ribi
YLR387C	ribi
YFR001W	ribi
YLR022C	ribi
YLR397C	ribi
YIR012W	ribi
YGR218W	ribi
YLR347C	ribi
YBR017C	ribi
YER110C	ribi
YMR308C	ribi
YJR132W	ribi
YDR395W	ribi
YGL241W	ribi
YIR026C	ribi
YHR085W	ribi
YNL182C	ribi
YKR063C	ribi
YMR247C	ribi
YDR333C	ribi
YPL009C	ribi
YDL126C	ribi
YBR170C	ribi
YGR048W	ribi
YDR049W	ribi
YOL077C	ribi
YLR074C	ribi
YHR052W	ribi
YGL029W	ribi
YKL172W	ribi
YMR049C	ribi
YAL007C	ribi
YOR016C	ribi
YLR449W	ribi
YML074C	ribi
YKL021C	ribi
YAL025C	ribi
YDR060W	ribi
YLR106C	ribi
YPL211W	ribi
YOR206W	ribi
YLR002C	ribi
YNL061W	ribi
YPL043W	ribi
YOL144W	ribi
YOL041C	ribi
YNL110C	ribi
YER002W	ribi
YPL146C	ribi
YGL111W	ribi
YER126C	ribi
YGR103W	ribi
YDR496C	ribi
YLR196W	ribi
YGL246C	ribi
YHR197W	ribi
YLL034C	ribi
YHR088W	ribi
YKR081C	ribi
YMR131C	ribi
YDR087C	ribi
YDR083W	ribi
YPL012W	ribi
YDR412W	ribi
YOR294W	ribi
YPL193W	ribi
YLR221C	ribi
YCR072C	ribi
YGR245C	ribi
YCL054W	ribi
YCR018C	ribi
YHR066W	ribi
YDR312W	ribi
YOR252W	ribi
YKL014C	ribi
YJR041C	ribi
YOR272W	ribi
YJR055W	ribi
YDR361C	ribi
YCR087C-A	ribi
YNL022C	ribi
YOR201C	ribi
YGL136C	ribi
YBR141C	ribi
YIL096C	ribi
YLR063W	ribi
YMR097C	ribi
YHR168W	ribi
YOR205C	ribi
YLR165C	ribi
YMR228W	ribi
YIL110W	ribi
YLR197W	ribi
YHL033C	ribi
YLL045C	ribi
YLR175W	ribi
YHR072W-A	ribi
YMR239C	ribi
YHR168W	ribi
YGL169W	ribi
YGR210C	ribi
YNCO0025W	ribi
YNCP0005C	ribi
YNCJ0003C	ribi
YNCJ0003C	ribi
YNCA0003W	ribi
YNCM0026C	ribi
YNCD0030W	ribi
YNCK0009W	ribi
YNCG0014C	ribi
YNCG0015C	ribi
YNCN0001W	ribi
YNCE0019W	ribi
YNCP0015C	ribi
YNCP0021W	ribi
YNCD0010C	ribi
YNCG0026W	ribi
YNCO0007W	ribi
YNCP0013C	ribi
YNCE0020C	ribi
YNCE0003W	ribi
YNCM0005C	ribi
YNCL0042C	ribi
YNCB0003W	ribi
YNCL0043C	ribi
YNCO0003C	ribi
YNCP0003W	ribi
YNCJ0009C	ribi
YNCL0041C	ribi
YNCO0015C	ribi
YNCD0002C	ribi
YNCK0001W	ribi
YNCC0011W	ribi
YNCN0014W	ribi
YNCE0002W	ribi
YNCI0001W	ribi
YNCK0013W	ribi
YNCP0014C	ribi
YNCH0014W	ribi
YNCM0017W	ribi
YNCM0016W	ribi
YNCM0015W	ribi
YNCM0014W	ribi
YNCM0013W	ribi
YNCM0012W	ribi
YNCM0011W	ribi
YNCL0005C	ribi
YNCK0015C	ribi
YNCJ0004C	ribi
YNCL0003W	ribi
YNCG0013W	ribi
YNCJ0030W	ribi
YNCO0028W	ribi
YNCO0026W	ribi
YNCO0014C	ribi
YNCG0013W	ribi
YNCM0031W	ribi
YNCO0027C	ribi
YNCH0012W	ribi
YNCC0006C	ribi
YNCL0048W	ribi
YNCO0024C	ribi
YNCO0022C	ribi
YNCJ0007C	ribi
YNCK0020C	ribi
YNCC0003C	ribi
YNCL0046W	ribi
YNCG0024W	ribi
YNCN0018W	ribi
YNCE0001C	ribi
YNCO0006W	ribi
YNCG0010W	ribi
YNCM0030W	ribi
YNCD0032C	ribi
YNCM0002C	ribi
YNCM0034C	ribi
YNCB0009C	ribi
YNCC0012C	ribi
YNCN0019C	ribi
YNCN0013W	ribi
