ORF	label
YGL123W	RP
YNL178W	RP
YLR441C	RP
YML063W	RP
YHR203C	RP
YJR145C	RP
YJR123W	RP
YPL090C	RP
YBR181C	RP
YOR096W	RP
YNL096C	RP
YER102W	RP
YBL072C	RP
YPL081W	RP
YBR189W	RP
YOR293W	RP
YMR230W	RP
YBR048W	RP
YDR025W	RP
YOR369C	RP
YDR064W	RP
YJL191W	RP
YCR031C	RP
YOL040C	RP
YLR367W	RP
YJL190C	RP
YMR143W	RP
YDL083C	RP
YML024W	RP
YDR447C	RP
YML026C	RP
YDR450W	RP
YNL302C	RP
YOL121C	RP
YHL015W	RP
YJL136C	RP
YKR057W	RP
YPR132W	RP
YGR118W	RP
YER074W	RP
YIL069C	RP
YLR333C	RP
YGR027C	RP
YGL189C	RP
YER131W	RP
YHR021C	RP
YKL156W	RP
YLR167W	RP
YOR167C	RP
YLR264W	RP
YLR388W	RP
YDL061C	RP
YOR182C	RP
YLR287C-A	RP
YGR214W	RP
YLR048W	RP
YOR063W	RP
YBR031W	RP
YDR012W	RP
YPL131W	RP
YLR448W	RP
YML073C	RP
YPL198W	RP
YNL002C	RP
YGL076C	RP
YHL033C	RP
YLL045C	RP
YFR031C-A	RP
YIL018W	RP
YNL067W	RP
YGL147C	RP
YLR075W	RP
YPL220W	RP
YGL135W	RP
YPR102C	RP
YGR085C	RP
YEL054C	RP
YDR418W	RP
YMR142C	RP
YDL082W	RP
YNL069C	RP
YIL133C	RP
YHL001W	RP
YKL006W	RP
YMR121C	RP
YLR029C	RP
YJL177W	RP
YKL180W	RP
YNL301C	RP
YOL120C	RP
YOR312C	RP
YMR242C	RP
YBR084C-A	RP
YBL027W	RP
YPL079W	RP
YBR191W	RP
YFL034C-A	RP
YLR061W	RP
YER117W	RP
YBL087C	RP
YOL127W	RP
YLR009W	RP
YGR148C	RP
YGL031C	RP
YLR344W	RP
YGR034W	RP
YHR010W	RP
YDR471W	RP
YGL103W	RP
YFR032C-A	RP
YGL030W	RP
YLR406C	RP
YDL075W	RP
YBL092W	RP
YER056C-A	RP
YIL052C	RP
YDL136W	RP
YDL191W	RP
YPL143W	RP
YOR234C	RP
YPL249C-A	RP
YMR194W	RP
YDR500C	RP
YLR185W	RP
YPR043W	RP
YJR094W-A	RP
YLR325C	RP
YJL189W	RP
YIL148W	RP
YKR094C	RP
YDL133C-A	RP
YDL184C	RP
YNL162W	RP
YHR141C	RP
YLR340W	RP
YDL081C	RP
YDL130W	RP
YOL039W	RP
YDR382W	RP
