# Run started 2022-06-16 23:08:02.651973
# Command: scripts/annotation/extract_gene_from_ncRNA.py src/genomes/sgd_20210427_rna_coding.fasta src/annotations/sgd_20210427_rna_coding_names.tsv
# Parameters:
#	in_file: src/genomes/sgd_20210427_rna_coding.fasta
#	out_file: src/annotations/sgd_20210427_rna_coding_names.tsv
ORF	gene
YNCA0001W	HRA1
YNCA0002W	TRN1
YNCA0003W	SNR18
YNCA0004W	TGA1
YNCA0005W	SUP56
YNCA0006C	YNCA0006C
YNCB0001W	YNCB0001W
YNCB0002W	YNCB0002W
YNCB0003W	SNR56
YNCB0004W	YNCB0004W
YNCB0005C	YNCB0005C
YNCB0006W	YNCB0006W
YNCB0007W	YNCB0007W
YNCB0008W	YNCB0008W
YNCB0009C	SNR161
YNCB0010W	TLC1
YNCB0011C	YNCB0011C
YNCB0012W	YNCB0012W
YNCB0013W	YNCB0013W
YNCB0014W	TBRT
YNCB0015W	YNCB0015W
YNCB0016W	YNCB0016W
YNCB0017C	YNCB0017C
YNCB0018W	YNCB0018W
YNCB0019C	LSR1
YNCC0001C	YNCC0001C
YNCC0002W	SUP53
YNCC0003C	SNR43
YNCC0004C	SUF2
YNCC0005W	YNCC0005W
YNCC0006C	SNR33
YNCC0007C	SUF16
YNCC0008W	YNCC0008W
YNCC0009C	YNCC0009C
YNCC0010C	YNCC0010C
YNCC0011W	SNR65
YNCC0012C	SNR189
YNCC0013W	SUP61
YNCC0014W	YNCC0014W
YNCD0001W	YNCD0001W
YNCD0002C	SNR63
YNCD0003W	YNCD0003W
YNCD0004W	YNCD0004W
YNCD0005C	YNCD0005C
YNCD0006W	YNCD0006W
YNCD0007C	YNCD0007C
YNCD0008W	YNCD0008W
YNCD0009W	YNCD0009W
YNCD0010C	SNR47
YNCD0011W	YNCD0011W
YNCD0012W	YNCD0012W
YNCD0013C	YNCD0013C
YNCD0014C	YNCD0014C
YNCD0015C	YNCD0015C
YNCD0016C	YNCD0016C
YNCD0017W	YNCD0017W
YNCD0018W	SUP2
YNCD0019C	YNCD0019C
YNCD0020W	YNCD0020W
YNCD0021C	YNCD0021C
YNCD0022C	YNCD0022C
YNCD0023C	YNCD0023C
YNCD0024C	YNCD0024C
YNCD0025W	EMT1
YNCD0026W	YNCD0026W
YNCD0027C	SUF3
YNCD0028W	YNCD0028W
YNCD0029C	YNCD0029C
YNCD0030W	SNR13
YNCD0031C	YNCD0031C
YNCD0032C	SNR84
YNCE0001C	SNR80
YNCE0002W	SNR67
YNCE0003W	SNR53
YNCE0004C	YNCE0004C
YNCE0005W	YNCE0005W
YNCE0006W	IMT4
YNCE0007C	RPR1
YNCE0008C	YNCE0008C
YNCE0009C	YNCE0009C
YNCE0010W	YNCE0010W
YNCE0011C	SNR14
YNCE0012W	YNCE0012W
YNCE0013W	YNCE0013W
YNCE0014W	YNCE0014W
YNCE0015C	SUP19
YNCE0016C	YNCE0016C
YNCE0017W	SRG1
YNCE0018W	YNCE0018W
YNCE0019W	SNR4
YNCE0020C	SNR52
YNCE0021C	YNCE0021C
YNCE0022C	YNCE0022C
YNCE0023W	YNCE0023W
YNCE0024W	SCR1
YNCE0025C	YNCE0025C
YNCE0026W	YNCE0026W
YNCE0027C	YNCE0027C
YNCE0028C	YNCE0028C
YNCE0029C	YNCE0029C
YNCF0001C	RUF21
YNCF0002W	SUF9
YNCF0003C	RUF20
YNCF0004C	YNCF0004C
YNCF0005C	YNCF0005C
YNCF0006W	SUF20
YNCF0007W	SUP11
YNCF0008C	YNCF0008C
YNCF0009C	YNCF0009C
YNCF0010C	RUF22
YNCF0011C	YNCF0011C
YNCF0012C	SUP6
YNCF0013W	RUF23
YNCF0014C	YNCF0014C
YNCG0001C	RME3
YNCG0002C	YNCG0002C
YNCG0003C	YNCG0003C
YNCG0004W	YNCG0004W
YNCG0005W	YNCG0005W
YNCG0006C	RME2
YNCG0007C	YNCG0007C
YNCG0008W	YNCG0008W
YNCG0009C	YNCG0009C
YNCG0010W	SNR82
YNCG0011W	YNCG0011W
YNCG0012W	SOE1
YNCG0013W	SNR10
YNCG0014C	SNR39
YNCG0015C	SNR39B
YNCG0016C	YNCG0016C
YNCG0017W	YNCG0017W
YNCG0018C	YNCG0018C
YNCG0019W	SUP54
YNCG0020C	YNCG0020C
YNCG0021W	YNCG0021W
YNCG0022W	YNCG0022W
YNCG0023C	YNCG0023C
YNCG0024W	SNR46
YNCG0025C	YNCG0025C
YNCG0026W	SNR48
YNCG0027W	YNCG0027W
YNCG0028W	YNCG0028W
YNCG0029C	YNCG0029C
YNCG0030C	YNCG0030C
YNCG0031W	YNCG0031W
YNCG0032W	YNCG0032W
YNCG0033W	YNCG0033W
YNCG0034W	YNCG0034W
YNCG0035W	SUF4
YNCG0036W	YNCG0036W
YNCG0037W	YNCG0037W
YNCG0038C	YNCG0038C
YNCG0039W	YNCG0039W
YNCG0040C	YNCG0040C
YNCG0041W	YNCG0041W
YNCG0042C	YNCG0042C
YNCG0043C	YNCG0043C
YNCG0044C	SNR7-L
YNCG0045C	SNR7-S
YNCG0046W	YNCG0046W
YNCH0001W	YNCH0001W
YNCH0002C	YNCH0002C
YNCH0003C	YNCH0003C
YNCH0004C	YNCH0004C
YNCH0005W	YNCH0005W
YNCH0006C	YNCH0006C
YNCH0007W	RUF5-1
YNCH0008W	RUF5-2
YNCH0009C	YNCH0009C
YNCH0010C	YNCH0010C
YNCH0011W	SUT169
YNCH0012W	SNR32
YNCH0013C	SUF8
YNCH0014W	SNR71
YNCH0015W	YNCH0015W
YNCH0016C	YNCH0016C
YNCI0001W	SNR68
YNCI0002W	YNCI0002W
YNCI0003C	YNCI0003C
YNCI0004W	YNCI0004W
YNCI0005W	YNCI0005W
YNCI0006W	SUP17
YNCI0007C	YNCI0007C
YNCI0008C	YNCI0008C
YNCI0009W	YNCI0009W
YNCI0010C	YNCI0010C
YNCI0011W	YNCI0011W
YNCI0012	ICR1
YNCI0013W	PWR1
YNCJ0001C	YNCJ0001C
YNCJ0002C	YNCJ0002C
YNCJ0003C	SNR128
YNCJ0004C	SNR190
YNCJ0005C	YNCJ0005C
YNCJ0006W	YNCJ0006W
YNCJ0007C	SNR37
YNCJ0008W	YNCJ0008W
YNCJ0009C	SNR60
YNCJ0010W	SUP7
YNCJ0011W	YNCJ0011W
YNCJ0012W	YNCJ0012W
YNCJ0013C	YNCJ0013C
YNCJ0014C	YNCJ0014C
YNCJ0015W	YNCJ0015W
YNCJ0016C	EMT5
YNCJ0017C	YNCJ0017C
YNCJ0018W	YNCJ0018W
YNCJ0019C	YNCJ0019C
YNCJ0020W	EMT3
YNCJ0021C	SUP51
YNCJ0022C	IMT3
YNCJ0023C	YNCJ0023C
YNCJ0024W	SUF23
YNCJ0025W	HSX1
YNCJ0026W	YNCJ0026W
YNCJ0027C	SUP4
YNCJ0028C	IRT1
YNCJ0029W	YNCJ0029W
YNCJ0030W	SNR3
YNCK0001W	SNR64
YNCK0002C	TRT2
YNCK0003W	YNCK0003W
YNCK0004W	YNCK0004W
YNCK0005C	YNCK0005C
YNCK0006C	YNCK0006C
YNCK0007W	YNCK0007W
YNCK0008W	YNCK0008W
YNCK0009W	SNR38
YNCK0010W	YNCK0010W
YNCK0011C	YNCK0011C
YNCK0012C	YNCK0012C
YNCK0013W	SNR69
YNCK0014W	YNCK0014W
YNCK0015C	SNR87
YNCK0016W	YNCK0016W
YNCK0017W	YNCK0017W
YNCK0018C	YNCK0018C
YNCK0019W	YNCK0019W
YNCK0020C	SNR42
YNCK0021W	YNCK0021W
YNCL0001W	YNCL0001W
YNCL0002C	YNCL0002C
YNCL0003W	SNR30
YNCL0004C	YNCL0004C
YNCL0005C	SNR79
YNCL0006W	SNR6
YNCL0007W	YNCL0007W
YNCL0008W	YNCL0008W
YNCL0009C	YNCL0009C
YNCL0010C	RDN37-1
YNCL0012C	RDN25-1
YNCL0014C	RDN58-1
YNCL0016C	RDN18-1
YNCL0018W	RDN5-1
YNCL0020C	RDN37-2
YNCL0021C	RDN25-2
YNCL0023C	RDN58-2
YNCL0025C	RDN18-2
YNCL0027W	RDN5-2
YNCL0028W	RDN5-3
YNCL0029W	RDN5-4
YNCL0030W	RDN5-5
YNCL0031W	RDN5-6
YNCL0032C	YNCL0032C
YNCL0033C	YNCL0033C
YNCL0034W	YNCL0034W
YNCL0035C	YNCL0035C
YNCL0036C	YNCL0036C
YNCL0037W	YNCL0037W
