# Run started 2023-05-03 16:32:52.527749
# Command: count_fasta_length.py Schizosaccharomyces_pombe_cds.fa Schizosaccharomyces_pombe_cds_length.tsv
# Parameters:
#	in_file: Schizosaccharomyces_pombe_cds.fa
#	out_file: Schizosaccharomyces_pombe_cds_length.tsv
ORF	Length
SPAC1002.01	489
SPAC1002.02	690
SPAC1002.03c	2772
SPAC1002.04c	600
SPAC1002.05c	2148
SPAC1002.06c	357
SPAC1002.07c	507
SPAC1002.08c	1101
SPAC1002.09c	1536
SPAC1002.10c	1773
SPAC1002.11	1746
SPAC1002.12c	1497
SPAC1002.13c	1254
SPAC1002.14	1308
SPAC1002.15c	651
SPAC1002.16c	1500
SPAC1002.17c	570
SPAC1002.18	1200
SPAC1002.19	1320
SPAC1002.20	306
SPAC1006.01	1356
SPAC1006.02	1107
SPAC1006.03c	2139
SPAC1006.04c	2859
SPAC1006.05c	1191
SPAC1006.06	3477
SPAC1006.07	1179
SPAC1006.08	1176
SPAC1006.09	4311
SPAC1039.01	1704
SPAC1039.02	1806
SPAC1039.03	1026
SPAC1039.04	1524
SPAC1039.05c	2346
SPAC1039.06	1248
SPAC1039.07c	1347
SPAC1039.08	813
SPAC1039.09	1743
SPAC1039.10	381
SPAC1039.11c	2988
SPAC105.01c	2670
SPAC105.02c	513
SPAC105.03c	2127
SPAC1071.01c	2166
SPAC1071.02	3057
SPAC1071.03c	1017
SPAC1071.04c	504
SPAC1071.05	1020
SPAC1071.06	1572
SPAC1071.07c	465
SPAC1071.08	333
SPAC1071.09c	768
SPAC1071.10c	2760
SPAC1071.11	735
SPAC1071.12c	471
SPAC1071.13	318
SPAC1093.01	3786
SPAC1093.02	696
SPAC1093.03	2499
SPAC1093.04c	1503
SPAC1093.05	2208
SPAC1093.06c	12591
SPAC1093.07	237
SPAC10F6.01c	4422
SPAC10F6.02c	3507
SPAC10F6.03c	1803
SPAC10F6.04	1056
SPAC10F6.05c	684
SPAC10F6.06	774
SPAC10F6.07c	567
SPAC10F6.08c	1026
SPAC10F6.09c	3585
SPAC10F6.10	1494
SPAC10F6.11c	1236
SPAC10F6.12c	711
SPAC10F6.13c	1230
SPAC10F6.14c	1608
SPAC10F6.15	1299
SPAC10F6.16	420
SPAC10F6.17c	1335
SPAC110.01	3072
SPAC110.02	3618
SPAC110.03	579
SPAC110.04c	2163
SPAC110.06	93
SPAC1142.01	1971
SPAC1142.02c	954
SPAC1142.03c	2169
SPAC1142.04	2124
SPAC1142.05	522
SPAC1142.06	990
SPAC1142.07c	669
SPAC1142.08	2232
SPAC1142.09	348
SPAC11D3.01c	240
SPAC11D3.02c	453
SPAC11D3.03c	909
SPAC11D3.04c	393
SPAC11D3.05	1641
SPAC11D3.06	1368
SPAC11D3.07c	1914
SPAC11D3.08c	1653
SPAC11D3.09	1185
SPAC11D3.10	1305
SPAC11D3.11c	1074
SPAC11D3.13	669
SPAC11D3.14c	3783
SPAC11D3.15	3954
SPAC11D3.16c	396
SPAC11D3.17	1758
SPAC11D3.18c	1497
SPAC11D3.19	234
SPAC11D3.20	87
SPAC11E3.01c	3867
SPAC11E3.02c	3714
SPAC11E3.03	786
SPAC11E3.04c	447
SPAC11E3.05	3972
SPAC11E3.06	1197
SPAC11E3.07	684
SPAC11E3.08c	1569
SPAC11E3.09	912
SPAC11E3.10	489
SPAC11E3.11c	2829
SPAC11E3.12	489
SPAC11E3.13c	1533
SPAC11E3.14	1767
SPAC11E3.15	354
SPAC11G7.01	1611
SPAC11G7.02	2304
SPAC11G7.03	1071
SPAC11G7.04	387
SPAC11G7.05c	957
SPAC11G7.06c	1293
SPAC11H11.01	1464
SPAC11H11.02c	795
SPAC11H11.03c	621
SPAC11H11.04	1047
SPAC11H11.05c	180
SPAC11H11.06	1173
SPAC1250.01	3600
SPAC1250.02	537
SPAC1250.03	468
SPAC1250.04c	327
SPAC1250.05	354
SPAC1250.07	363
SPAC1296.01c	1629
SPAC1296.02	495
SPAC1296.03c	1524
SPAC1296.04	747
SPAC1296.05c	777
SPAC1296.06	1755
SPAC12B10.01c	4944
SPAC12B10.02c	708
SPAC12B10.03	1632
SPAC12B10.04	1212
SPAC12B10.05	1461
SPAC12B10.06c	420
SPAC12B10.07	771
SPAC12B10.08c	1371
SPAC12B10.09	801
SPAC12B10.10	1260
SPAC12B10.11	1713
