Gene	Closest_gene	Distance
YAL068C	YAL067C	5066
YAL067W-A	YAL068W-A	1688
YAL067C	YAL065C	2549
YAL066W	YAL067W-A	7384
YAL065C	YAL064C-A	1412
YAL064W-B	YAL066W	1647
YAL064C-A	YAL063C-A	8652
YAL064W	YAL064W-B	9140
YAL063C-A	YAL063C	1315
YAL063C	YAL059C-A	8528
YAL062W	YAL064W	9717
YAL061W	YAL062W	508
YAL060W	YAL061W	454
YAL059C-A	YAL056C-A	1778
YAL059W	YAL060W	206
YAL058W	YAL059W	317
YAL056C-A	YAL054C	3835
YAL056W	YAL058W	287
YAL055W	YAL056W	276
YAL054C	YAL049C	6833
YAL053W	YAL055W	3180
YAL051W	YAL053W	314
YAL049C	YAL048C	206
YAL048C	YAL047C	200
YAL047W-A	YAL051W	2877
YAL047C	YAL046C	172
YAL046C	YAL045C	103
YAL045C	YAL044C	154
YAL044W-A	YAL047W-A	2605
YAL044C	YAL043C	233
YAL043C	YAL042C-A	179
YAL042C-A	YAL040C	4170
YAL042W	YAL044W-A	3466
YAL041W	YAL042W	277
YAL040C	YAL039C	1196
YAL039C	YAL037C-B	2801
YAL038W	YAL041W	6382
YAL037C-B	YAL037C-A	126
YAL037C-A	YAL036C	1525
YAL037W	YAL038W	732
YAL036C	YAL034C-B	3337
YAL035W	YAL037W	1604
YAL034C-B	YAL034C	868
YAL034W-A	YAL035W	283
YAL034C	YAL032C	1384
YAL033W	YAL034W-A	2119
YAL032C	YAL031C	275
YAL031W-A	YAL033W	1442
YAL031C	YAL029C	824
YAL030W	YAL031W-A	2309
YAL029C	YAL026C-A	3116
YAL028W	YAL030W	5148
YAL027W	YAL028W	201
YAL026C-A	YAL025C	4402
YAL026C	YAL025C	528
YAL025C	YAL024C	420
YAL024C	YAL023C	400
YAL023C	YAL022C	326
YAL022C	YAL021C	416
YAL021C	YAL020C	255
YAL020C	YAL018C	3949
YAL019W-A	YAL027W	18778
YAL019W	YAL019W-A	100
YAL018C	YAL016C-B	4766
YAL017W	YAL019W	1911
YAL016C-B	YAL016C-A	263
YAL016C-A	YAL015C	1834
YAL016W	YAL017W	584
YAL015C	YAL014C	150
YAL014C	YAL010C	5165
YAL013W	YAL016W	2484
YAL012W	YAL013W	312
YAL011W	YAL012W	216
YAL010C	YAL007C	2033
YAL009W	YAL011W	1778
YAL008W	YAL009W	281
YAL007C	YAL005C	1158
YAL005C	YAL001C	6163
YAL004W	YAL008W	3250
YAL003W	YAL004W	767
YAL002W	YAL003W	547
YAL001C	YAR002C-A	2899
YAR002W	YAL002W	4726
YAR002C-A	YAR007C	2030
YAR003W	YAR002W	1129
YAR007C	YAR014C	8123
YAR008W	YAR003W	2681
YAR014C	YAR018C	1525
YAR015W	YAR008W	9582
YAR018C	YAR019C	508
YAR019C	YAR020C	1721
YAR019W-A	YAR015W	4703
YAR020C	YAR023C	2258
YAR023C	YAR030C	6692
YAR027W	YAR019W-A	8440
YAR028W	YAR027W	415
YAR029W	YAR028W	725
YAR030C	YAR035C-A	5484
YAR031W	YAR029W	291
YAR033W	YAR031W	375
YAR035W	YAR033W	1382
YAR035C-A	YAR047C	9050
YAR042W	YAR035W	363
YAR047C	YAR060C	15370
YAR050W	YAR042W	7218
YAR053W	YAR050W	351
YAR060C	YAR069C	6519
YAR064W	YAR053W	11535
YAR066W	YAR064W	552
