# Date and Time: 2023-09-04 14:38:16
# Command: python pull_unspliced_length_GFF.py saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid_filtered.gff saccharomyces_cerevisiae_R64-3-1_20210421_unspliced_lengths.tsv
Gene_ID	unspliced.length
YAL069W	315
YAL068W-A	255
YAL068C	363
YAL067W-A	228
YAL067C	1782
YAL066W	309
YAL065C	387
YAL064W-B	381
YAL064C-A	381
YAL064W	285
YAL063C-A	291
YAL063C	3969
YAL062W	1374
YAL061W	1254
YAL060W	1149
YAL059C-A	423
YAL059W	639
YAL058W	1509
YAL056C-A	351
YAL056W	2643
YAL055W	543
YAL054C	2142
YAL053W	2352
YAL051W	3144
YAL049C	741
YAL048C	1989
YAL047W-A	330
YAL047C	1869
YAL046C	357
YAL045C	309
YAL044W-A	333
YAL044C	513
YAL043C	2358
YAL042C-A	378
YAL042W	1248
YAL041W	2565
YAL040C	1743
YAL039C	810
YAL038W	1503
YAL037C-B	975
YAL037C-A	93
YAL037W	804
YAL036C	1110
YAL035W	3009
YAL034C-B	354
YAL034W-A	870
YAL034C	1242
YAL033W	522
YAL032C	1140
YAL031W-A	309
YAL031C	2283
YAL030W	467
YAL029C	4416
YAL028W	1587
YAL027W	786
YAL026C-A	438
YAL026C	4068
YAL025C	921
YAL024C	4308
YAL023C	2280
YAL022C	1554
YAL021C	2514
YAL020C	1002
YAL019W-A	570
YAL019W	3396
YAL018C	978
YAL017W	4071
YAL016C-B	186
YAL016C-A	315
YAL016W	1908
YAL015C	1200
YAL014C	768
YAL013W	1218
YAL012W	1185
YAL011W	1878
YAL010C	1482
YAL009W	780
YAL008W	597
YAL007C	648
YAL005C	1929
YAL004W	648
YAL003W	987
YAL002W	3825
YAL001C	3573
YAR002W	1620
YAR002C-A	660
YAR003W	1281
YAR007C	1866
YAR008W	828
YAR014C	2130
YAR015W	921
YAR018C	1308
YAR019C	2925
YAR019W-A	333
YAR020C	168
YAR023C	540
YAR027W	708
YAR028W	705
YAR029W	225
YAR030C	342
YAR031W	897
YAR033W	705
YAR035W	2064
YAR035C-A	81
YAR042W	3567
YAR047C	321
YAR050W	4614
YAR053W	297
YAR060C	336
YAR064W	300
YAR066W	612
YAR068W	486
YAR069C	294
YAR070C	300
YAR071W	1404
YAR073W	1212
YAR075W	474
YBL113C	2379
YBL113W-A	483
YBL112C	318
YBL111C	2103
YBL109W	336
YBL108C-A	129
YBL108W	306
YBL107W-A	105
YBL107C	591
YBL106C	3033
YBL105C	3456
YBL104C	3117
YBL103C	1461
YBL102W	648
YBL101C	3354
YBL100W-C	120
YBL100C	315
YBL099W	1638
YBL098W	1383
YBL097W	2265
YBL096C	309
YBL095W	813
YBL094C	333
YBL093C	663
YBL092W	393
YBL091C-A	616
YBL091C	1266
YBL090W	534
YBL089W	1380
YBL088C	8364
YBL087C	918
YBL086C	1401
YBL085W	2943
YBL084C	2277
YBL083C	426
YBL082C	1377
YBL081W	1107
YBL080C	1626
YBL079W	4509
YBL078C	354
YBL077W	432
YBL076C	3219
YBL075C	1950
YBL074C	1068
YBL073W	312
YBL072C	603
YBL071C-B	99
YBL071W-A	249
YBL071C	309
YBL070C	321
YBL069W	1290
YBL068W-A	237
YBL068W	981
YBL067C	2244
YBL066C	3447
YBL065W	345
YBL064C	786
YBL063W	3336
YBL062W	381
YBL061C	2091
YBL060W	2064
YBL059C-A	415
YBL059W	651
YBL058W	1272
YBL057C	627
YBL056W	1407
YBL055C	1257
YBL054W	1578
YBL053W	375
YBL052C	2496
YBL051C	2007
YBL050W	995
YBL049W	417
YBL048W	312
YBL047C	4146
YBL046W	1326
YBL045C	1374
YBL044W	369
YBL043W	774
YBL042C	1920
YBL041W	726
YBL040C	757
YBL039W-B	180
YBL039C	1740
YBL039C-A	84
YBL038W	699
YBL037W	3078
YBL036C	774
YBL035C	2118
YBL034C	4542
YBL033C	1038
YBL032W	1146
YBL031W	1017
YBL030C	957
YBL029C-A	285
YBL029W	1131
YBL028C	321
YBL027W	954
YBL026W	416
YBL025W	438
YBL024W	2055
YBL023C	2607
YBL022C	3402
YBL021C	435
YBL020W	1725
YBL019W	1563
YBL018C	477
YBL017C	4740
YBL016W	1062
YBL015W	1581
YBL014C	2685
YBL013W	1206
YBL012C	402
YBL011W	2280
YBL010C	843
YBL009W	2031
YBL008W-A	240
YBL008W	2523
YBL007C	3735
YBL006C	543
YBL006W-A	150
YBL005W	2931
YBL004W	7482
YBL003C	399
YBL002W	396
YBL001C	315
YBR001C	2343
YBR002C	861
YBR003W	1422
YBR004C	1302
YBR005W	642
YBR006W	1494
YBR007C	2211
YBR008C	1647
YBR009C	312
YBR010W	411
YBR011C	864
YBR012C	420
YBR013C	390
YBR014C	612
YBR015C	1794
YBR016W	387
YBR017C	2757
YBR018C	1101
YBR019C	2100
YBR020W	1587
YBR021W	1902
YBR022W	534
YBR023C	3498
YBR024W	906
YBR025C	1185
YBR026C	1143
YBR027C	333
YBR028C	1578
YBR029C	1374
YBR030W	1659
YBR031W	1089
YBR032W	303
YBR033W	2760
YBR034C	1047
YBR035C	687
YBR036C	1233
YBR037C	888
YBR038W	2892
YBR039W	936
YBR040W	897
YBR041W	2010
YBR042C	1194
YBR043C	2070
YBR044C	1719
YBR045C	1920
YBR046C	1005
YBR047W	528
YBR048W	982
YBR049C	2433
YBR050C	1017
YBR051W	351
YBR052C	633
YBR053C	1077
YBR054W	1035
YBR055C	2700
YBR056W	1506
YBR056W-A	201
YBR056C-B	159
YBR057C	1101
YBR058C	2346
YBR058C-A	243
YBR059C	3327
YBR060C	1863
YBR061C	933
YBR062C	625
YBR063C	1215
YBR064W	429
YBR065C	1095
