# Run started 2023-05-03 16:33:53.201058
# Command: count_fasta_length.py Schizosaccharomyces_pombe_230503_3UTR.fa Schizosaccharomyces_pombe_230503_3UTR_length.tsv
# Parameters:
#	in_file: Schizosaccharomyces_pombe_230503_3UTR.fa
#	out_file: Schizosaccharomyces_pombe_230503_3UTR_length.tsv
ORF	Length
SPAC1002.02	236
SPAC1002.03c	297
SPAC1002.04c	149
SPAC1002.05c	102
SPAC1002.07c	246
SPAC1002.08c	543
SPAC1002.09c	725
SPAC1002.10c	115
SPAC1002.11	160
SPAC1002.12c	213
SPAC1002.13c	535
SPAC1002.14	156
SPAC1002.15c	1674
SPAC1002.16c	259
SPAC1002.17c	403
SPAC1002.18	155
SPAC1002.19	272
SPAC1002.20	353
SPAC1006.01	176
SPAC1006.02	196
SPAC1006.03c	281
SPAC1006.04c	1034
SPAC1006.05c	897
SPAC1006.06	375
SPAC1006.07	290
SPAC1006.08	312
SPAC1006.09	97
SPAC1039.01	484
SPAC1039.02	120
SPAC1039.03	113
SPAC1039.04	232
SPAC1039.05c	71
SPAC1039.06	540
SPAC1039.07c	325
SPAC1039.08	112
SPAC1039.09	129
SPAC1039.10	170
SPAC1039.11c	291
SPAC105.01c	303
SPAC105.02c	729
SPAC105.03c	450
SPAC1071.01c	241
SPAC1071.02	143
SPAC1071.03c	812
SPAC1071.05	616
SPAC1071.06	251
SPAC1071.07c	186
SPAC1071.08	39
SPAC1071.09c	1643
SPAC1071.10c	278
SPAC1071.11	995
SPAC1071.12c	176
SPAC1071.13	150
SPAC1093.01	320
SPAC1093.02	471
SPAC1093.03	826
SPAC1093.04c	2747
SPAC1093.05	451
SPAC1093.07	1027
SPAC10F6.01c	161
SPAC10F6.02c	113
SPAC10F6.03c	251
SPAC10F6.04	1339
SPAC10F6.05c	333
SPAC10F6.06	284
SPAC10F6.09c	240
SPAC10F6.10	86
SPAC10F6.11c	1326
SPAC10F6.12c	265
SPAC10F6.13c	148
SPAC10F6.14c	54
SPAC10F6.15	70
SPAC10F6.16	761
SPAC10F6.17c	350
SPAC110.01	408
SPAC110.02	238
SPAC110.03	377
SPAC110.04c	231
SPAC110.06	1489
SPAC1142.01	120
SPAC1142.02c	170
SPAC1142.03c	158
SPAC1142.04	215
SPAC1142.05	286
SPAC1142.06	299
SPAC1142.07c	214
SPAC1142.08	119
SPAC11D3.01c	176
SPAC11D3.03c	101
SPAC11D3.04c	403
SPAC11D3.05	242
SPAC11D3.06	129
SPAC11D3.07c	2141
SPAC11D3.08c	235
SPAC11D3.09	87
SPAC11D3.11c	1074
SPAC11D3.13	271
SPAC11D3.14c	129
SPAC11D3.15	81
SPAC11D3.16c	424
SPAC11D3.17	336
SPAC11D3.18c	43
SPAC11D3.19	1163
SPAC11E3.01c	103
SPAC11E3.02c	162
SPAC11E3.03	235
SPAC11E3.04c	204
SPAC11E3.05	195
SPAC11E3.06	407
SPAC11E3.07	680
SPAC11E3.08c	116
SPAC11E3.09	335
SPAC11E3.10	314
SPAC11E3.11c	349
SPAC11E3.12	2206
SPAC11E3.13c	323
SPAC11E3.14	176
SPAC11E3.15	112
SPAC11G7.01	1406
SPAC11G7.02	302
SPAC11G7.03	227
SPAC11G7.04	163
SPAC11G7.05c	467
SPAC11G7.06c	378
SPAC11H11.01	100
SPAC11H11.02c	1922
SPAC11H11.03c	161
SPAC11H11.04	188
SPAC11H11.06	488
SPAC1250.01	228
SPAC1250.02	72
SPAC1250.03	497
SPAC1250.04c	223
SPAC1250.05	138
SPAC1296.01c	107
SPAC1296.02	204
SPAC1296.03c	274
SPAC1296.04	357
SPAC1296.05c	66
SPAC1296.06	139
SPAC12B10.01c	193
SPAC12B10.02c	41
SPAC12B10.03	464
SPAC12B10.04	136
SPAC12B10.05	178
SPAC12B10.06c	77
SPAC12B10.07	401
SPAC12B10.08c	275
SPAC12B10.09	219
SPAC12B10.12c	273
SPAC12B10.13	111
SPAC12B10.14c	101
SPAC12B10.16c	249
SPAC12G12.01c	239
SPAC12G12.02	605
SPAC12G12.03	1309
SPAC12G12.04	341
SPAC12G12.05c	880
SPAC12G12.06c	638
SPAC12G12.07c	186
SPAC12G12.08	517
SPAC12G12.10	26
SPAC12G12.11c	140
SPAC12G12.12	152
SPAC12G12.13c	151
SPAC12G12.14c	322
SPAC12G12.15	435
SPAC12G12.16c	388
SPAC12G12.17	137
SPAC1327.01c	339
SPAC139.01c	263
SPAC139.02c	364
SPAC139.03	261
SPAC139.04c	174
SPAC139.05	196
SPAC139.06	248
SPAC1399.01c	219
SPAC1399.02	473
SPAC1399.03	28
SPAC1399.06	1646
SPAC13A11.01c	1241
SPAC13A11.02c	483
SPAC13A11.03	701
SPAC13A11.04c	367
SPAC13A11.05	369
SPAC13A11.06	183
SPAC13C5.01c	551
SPAC13C5.02	73
SPAC13C5.03	803
SPAC13C5.04	156
SPAC13C5.05c	195
SPAC13C5.06c	422
SPAC13C5.07	1611
SPAC13D1.01c	84
SPAC13D6.01	47
SPAC13D6.02c	714
SPAC13D6.03c	480
SPAC13D6.04c	58
SPAC13D6.05	268
SPAC13F5.01c	149
SPAC13F5.02c	120
SPAC13F5.03c	367
SPAC13F5.04c	594
SPAC13F5.05	344
SPAC13F5.06c	117
SPAC13F5.07c	211
SPAC13G6.01c	483
SPAC13G6.02c	148
SPAC13G6.03	460
SPAC13G6.04	158
SPAC13G6.05c	174
SPAC13G6.06c	639
SPAC13G6.07c	530
SPAC13G6.08	47
SPAC13G6.09	656
SPAC13G6.10c	368
SPAC13G6.11c	20
SPAC13G6.12c	150
SPAC13G6.14	650
SPAC13G6.15c	758
SPAC13G7.01c	165
SPAC13G7.02c	239
SPAC13G7.03	144
SPAC13G7.04c	294
SPAC13G7.05	401
SPAC13G7.06	349
SPAC13G7.07	79
SPAC13G7.08c	115
SPAC13G7.09c	334
SPAC13G7.10	97
SPAC13G7.11	236
SPAC13G7.12c	1012
SPAC13G7.13c	146
SPAC140.01	461
SPAC140.02	466
SPAC140.03	174
SPAC140.04	635
SPAC1420.01c	683
SPAC1420.02c	146
SPAC1420.03	133
SPAC1420.04c	75
SPAC144.01	93
SPAC144.02	545
SPAC144.03	46
SPAC144.04c	185
SPAC144.05	300
SPAC144.06	1369
SPAC144.07c	275
SPAC144.08	1787
SPAC144.09c	261
SPAC144.10c	141
SPAC144.11	111
SPAC144.12	726
