# Run started 2022-06-16 22:12:45.236780
# Command: scripts/annotation/extract_lengths_from_gff.py src/annotations/Scerevisiae.R64-1-1.104.yeastss.pelechano.gtf src/annotations/Scerevisiae.R64-1-1.104.yeastss.pelechano_lengths_withintron.tsv -i
# Parameters:
#	in_gtf: src/annotations/Scerevisiae.R64-1-1.104.yeastss.pelechano.gtf
#	out_file: src/annotations/Scerevisiae.R64-1-1.104.yeastss.pelechano_lengths_withintron.tsv
#	intron: True
ORF	Length
YAL069W	315
YAL068W-A	255
YAL068C	363
YAL067W-A	228
YAL067C	2004
YAL066W	370
YAL065C	387
YAL064W-B	3106
YAL064C-A	381
YAL064W	285
YAL063C-A	635
YAL063C	4472
YAL062W	1798
YAL061W	1755
YAL060W	1327
YAL059C-A	423
YAL059W	836
YAL058W	1749
YAL056C-A	351
YAL056W	2836
YAL055W	730
YAL054C	2351
YAL053W	2544
YAL051W	3158
YAL049C	961
YAL048C	1990
YAL047W-A	482
YAL047C	2453
YAL046C	479
YAL045C	740
YAL044W-A	485
YAL044C	721
YAL043C	2560
YAL042C-A	378
YAL042W	1381
YAL041W	2726
YAL040C	2389
YAL039C	953
YAL038W	1692
YAL037C-B	975
YAL037C-A	148
YAL037W	2480
YAL036C	2009
YAL035W	3159
YAL034C-B	397
YAL034W-A	1059
YAL034C	1434
YAL033W	697
YAL032C	1303
YAL031W-A	309
YAL031C	2492
YAL030W	798
YAL029C	4668
YAL028W	1708
YAL027W	977
YAL026C-A	466
YAL026C	4154
YAL025C	1230
YAL024C	4398
YAL023C	2483
YAL022C	1716
YAL021C	2868
YAL020C	1152
YAL019W-A	570
YAL019W	3555
YAL018C	1116
YAL017W	4438
YAL016C-B	186
YAL016C-A	315
YAL016W	2102
YAL015C	1347
YAL014C	1020
YAL013W	1350
YAL012W	1366
YAL011W	2016
YAL010C	1702
YAL009W	952
YAL008W	845
YAL007C	1013
YAL005C	2137
YAL004W	1393
YAL003W	1344
YAL002W	4013
YAL001C	3610
YAR002W	1900
YAR002C-A	976
YAR003W	1952
YAR007C	1981
YAR008W	1109
YAR014C	2457
YAR015W	2684
YAR018C	1534
YAR019C	3010
YAR019W-A	333
YAR020C	168
YAR023C	953
YAR027W	1308
YAR028W	1102
YAR029W	837
YAR030C	821
YAR031W	897
YAR033W	1204
YAR035W	2203
YAR035C-A	81
YAR042W	3767
YAR047C	321
YAR050W	4614
YAR053W	1266
YAR060C	336
YAR064W	300
YAR066W	612
YAR068W	486
YAR069C	294
YAR070C	300
YAR071W	1404
YAR073W	1433
YAR075W	474
YBL113C	2379
YBL113W-A	483
YBL112C	318
YBL111C	2103
YBL109W	336
YBL108C-A	129
YBL108W	306
YBL107W-A	105
YBL107C	822
YBL106C	3085
YBL105C	3862
YBL104C	3238
YBL103C	2209
YBL102W	989
YBL101C	3830
YBL100W-C	693
YBL100C	315
YBL099W	2344
YBL098W	1413
YBL097W	2283
YBL096C	351
YBL095W	1075
YBL094C	333
YBL093C	1151
YBL092W	905
YBL091C-A	872
YBL091C	1641
YBL090W	841
YBL089W	1721
YBL088C	8530
YBL087C	1185
YBL086C	1576
YBL085W	3199
YBL084C	2398
YBL083C	481
YBL082C	1445
YBL081W	1544
YBL080C	1768
YBL079W	4572
YBL078C	882
YBL077W	432
YBL076C	3356
YBL075C	2055
YBL074C	1368
YBL073W	312
YBL072C	1219
YBL071C-B	223
YBL071W-A	804
YBL071C	676
YBL070C	321
YBL069W	1507
YBL068W-A	435
YBL068W	1568
YBL067C	2474
YBL066C	3488
YBL065W	345
YBL064C	890
YBL063W	3353
YBL062W	381
YBL061C	2312
YBL060W	2120
YBL059C-A	1773
YBL059W	651
YBL058W	1456
YBL057C	1163
YBL056W	1862
YBL055C	1722
YBL054W	2261
YBL053W	375
YBL052C	2795
YBL051C	2519
YBL050W	1183
YBL049W	903
YBL048W	312
YBL047C	4525
YBL046W	1514
YBL045C	1879
YBL044W	369
YBL043W	1129
YBL042C	2167
YBL041W	845
YBL040C	942
YBL039W-B	642
YBL039C	2057
YBL039C-A	1322
YBL038W	925
YBL037W	3176
YBL036C	930
YBL035C	2325
YBL034C	4604
YBL033C	1239
YBL032W	1449
YBL031W	1211
YBL030C	1433
YBL029C-A	471
YBL029W	1167
YBL028C	657
YBL027W	1448
YBL026W	979
YBL025W	1086
YBL024W	2358
YBL023C	2834
YBL022C	3597
YBL021C	629
YBL020W	1887
YBL019W	1711
YBL018C	1255
YBL017C	4911
YBL016W	1225
YBL015W	1940
YBL014C	2953
YBL013W	1217
YBL012C	402
YBL011W	2586
YBL010C	1154
YBL009W	2213
YBL008W-A	240
YBL008W	2704
YBL007C	3949
YBL006C	797
YBL006W-A	706
YBL005W	3278
YBL004W	7589
YBL003C	922
YBL002W	720
YBL001C	572
YBR001C	2630
YBR002C	1141
YBR003W	1588
YBR004C	1412
YBR005W	1038
YBR006W	1680
YBR007C	2394
YBR008C	2025
YBR009C	696
YBR010W	796
YBR011C	1120
YBR012C	626
YBR013C	576
YBR014C	1003
YBR015C	2029
YBR016W	630
YBR017C	2991
YBR018C	1328
YBR019C	2549
YBR020W	2375
YBR021W	2225
YBR022W	754
YBR023C	3844
YBR024W	1943
YBR025C	1972
YBR026C	1679
YBR027C	333
YBR028C	1815
YBR029C	1595
YBR030W	1849
YBR031W	1302
YBR032W	996
YBR033W	2849
YBR034C	1617
YBR035C	878
YBR036C	1617
YBR037C	1073
YBR038W	3133
YBR039W	1411
YBR040W	897
YBR041W	2238
YBR042C	1376
YBR043C	2374
YBR044C	1795
YBR045C	1920
YBR046C	1470
YBR047W	715
YBR048W	1530
YBR049C	2988
YBR050C	1096
YBR051W	351
