"consensus.cluster"	"chr"	"start"	"end"	"strand"	"dominant_ctss"	"tpm"	"tpm.dominant_ctss"	"q_0.1"	"q_0.9"	"interquantile_width"
1	"chrI"	6529	6572	"+"	6548	0.564517570676592	0.322581468958052	6548	6559	12
5	"chrI"	11272	11401	"+"	11329	2.60753354074426	1.53226197755075	11304	11329	26
8	"chrI"	12533	12873	"+"	12779	3.62904152577809	0.69892651607578	12681	12779	99
9	"chrI"	12926	12949	"+"	12934	0.403226836197566	0.161290734479026	12932	12944	13
10	"chrI"	16974	17037	"+"	16975	0.994626195953995	0.430108625277403	16975	17006	32
14	"chrI"	23755	23780	"+"	23780	0.295699679878215	0.188172523558864	23774	23780	7
17	"chrI"	24778	24930	"+"	24838	2.55376996258458	1.53226197755075	24834	24850	17
18	"chrI"	24982	25124	"+"	25000	2.17742491546685	0.69892651607578	24994	25099	106
23	"chrI"	30112	30129	"+"	30118	0.994626195953995	0.645162937916105	30118	30129	12
24	"chrI"	31065	31377	"+"	31242	30.967821019973	10.6183066865359	31151	31242	92
25	"chrI"	31418	31639	"+"	31521	2.25807028270637	0.913980828714482	31521	31572	52
26	"chrI"	31689	32037	"+"	31726	3.65592331485793	0.618281148836267	31713	31881	169
31	"chrI"	32656	32700	"+"	32679	0.456990414357241	0.188172523558864	32679	32694	16
34	"chrI"	33280	33472	"+"	33359	132.634747319919	89.8389391048176	33348	33362	15
36	"chrI"	33655	34599	"+"	34258	33.1721277245197	2.55376996258458	33950	34393	444
37	"chrI"	34663	34690	"+"	34664	0.564517570676592	0.188172523558864	34664	34682	19
38	"chrI"	34834	34911	"+"	34835	0.322581468958052	0.188172523558864	34835	34854	20
39	"chrI"	34976	34987	"+"	34987	0.241936101718539	0.134408945399189	34977	34987	11
40	"chrI"	35015	35473	"+"	35107	72.9302937735997	33.0108369900407	35057	35185	129
41	"chrI"	35513	35935	"+"	35794	24.8925366879297	9.97314374861979	35558	35796	239
43	"chrI"	36462	36780	"+"	36525	62.9571500249799	23.0914568195806	36519	36567	49
44	"chrI"	37337	37551	"+"	37415	7.41937378603521	4.43549519817322	37380	37419	40
49	"chrI"	38563	38565	"+"	38565	0.456990414357241	0.241936101718539	38564	38565	2
50	"chrI"	39162	39286	"+"	39205	31.8818018486875	6.07528433204332	39201	39253	53
56	"chrI"	40147	40335	"+"	40335	0.268817890798377	0.134408945399189	40334	40335	2
64	"chrI"	41347	41390	"+"	41348	0.672044726995943	0.376345047117728	41348	41350	3
66	"chrI"	42118	42249	"+"	42155	29.9463130349392	6.20969327744251	42154	42185	32
67	"chrI"	42279	42433	"+"	42306	3.38710542405955	1.12903514135318	42306	42409	104
71	"chrI"	43434	43540	"+"	43469	3.0645239551015	1.10215335227335	43438	43469	32
73	"chrI"	43772	43798	"+"	43782	0.268817890798377	0.134408945399189	43782	43787	6
74	"chrI"	45667	46002	"+"	45769	213.65645960655	23.2527475540596	45749	45874	126
75	"chrI"	46057	46158	"+"	46155	0.645162937916105	0.322581468958052	46149	46158	10
79	"chrI"	46606	46656	"+"	46607	0.215054312638702	0.107527156319351	46607	46626	20
83	"chrI"	47087	47090	"+"	47090	0.430108625277403	0.295699679878215	47088	47090	3
85	"chrI"	47621	47719	"+"	47645	3.38710542405955	1.4247348212314	47643	47718	76
87	"chrI"	48005	48096	"+"	48057	2.79570606430312	0.672044726995943	48017	48087	71
88	"chrI"	48437	49087	"+"	48550	21.4516676857105	3.44086900221923	48534	48790	257
93	"chrI"	56554	56568	"+"	56555	0.215054312638702	0.107527156319351	56555	56561	7
94	"chrI"	56687	56693	"+"	56688	0.34946325803789	0.241936101718539	56688	56693	6
95	"chrI"	56948	56984	"+"	56984	0.241936101718539	0.134408945399189	56973	56984	12
97	"chrI"	57456	57609	"+"	57506	148.925111502301	61.8012330945469	57496	57524	29
100	"chrI"	61260	62019	"+"	61300	126.828280878674	40.4302107760759	61274	61796	523
101	"chrI"	62069	62187	"+"	62151	2.0698977591475	0.725808305155618	62128	62182	55
104	"chrI"	62747	62845	"+"	62776	21.9624216782274	7.47313736419488	62773	62819	47
105	"chrI"	62919	63207	"+"	63006	0.725808305155618	0.215054312638702	62933	63099	167
111	"chrI"	64576	64580	"+"	64578	0.295699679878215	0.188172523558864	64577	64578	2
114	"chrI"	68691	68747	"+"	68698	2.15054312638702	0.456990414357241	68698	68732	35
115	"chrI"	68930	69021	"+"	68947	0.241936101718539	0.134408945399189	68931	68947	17
116	"chrI"	69937	70160	"+"	70094	1.04838977411367	0.322581468958052	69944	70094	151
117	"chrI"	70203	70339	"+"	70326	0.403226836197566	0.241936101718539	70322	70326	5
120	"chrI"	70688	70689	"+"	70689	2.09677954822734	2.09677954822734	70689	70689	1
126	"chrI"	71634	73076	"+"	71759	6810.71631768952	5418.18587977577	71759	71768	10
127	"chrI"	73417	73486	"+"	73486	1.88172523558864	0.537635781596754	73418	73486	69
129	"chrI"	73809	74043	"+"	73921	8.33335461474969	1.26344408675237	73914	73957	44
132	"chrI"	76337	77472	"+"	76401	854.168848011843	360.215973669825	76394	76932	539
133	"chrI"	77493	77590	"+"	77512	0.376345047117728	0.268817890798377	77494	77512	19
136	"chrI"	78230	78240	"+"	78238	0.322581468958052	0.188172523558864	78237	78238	2
137	"chrI"	78337	78403	"+"	78352	1.07527156319351	0.860217250554806	78351	78352	2
139	"chrI"	78625	78927	"+"	78796	2.66129711890393	0.564517570676592	78636	78796	161
140	"chrI"	79088	79107	"+"	79107	0.322581468958052	0.215054312638702	79106	79107	2
141	"chrI"	79673	79718	"+"	79689	6.58603832456024	2.98387858786199	79674	79696	23
145	"chrI"	82211	82282	"+"	82261	0.510753992516916	0.403226836197566	82261	82272	12
146	"chrI"	82661	82769	"+"	82701	94.7583065064279	32.3387922630448	82686	82704	19
147	"chrI"	82873	82893	"+"	82888	0.241936101718539	0.134408945399189	82888	82893	6
148	"chrI"	82945	83055	"+"	82957	3.76345047117728	2.44624280626523	82957	82980	24
152	"chrI"	87236	87347	"+"	87264	54.3012139412722	24.354900906333	87252	87273	22
155	"chrI"	92377	92442	"+"	92388	1.55914376663059	0.564517570676592	92388	92424	37
156	"chrI"	92827	93102	"+"	92859	16.7473545967389	3.36022363497971	92849	92893	45
161	"chrI"	94578	94730	"+"	94607	28.2258785338296	7.93012777855212	94595	94646	52
162	"chrI"	95040	95181	"+"	95173	2.66129711890393	0.913980828714482	95065	95173	109
171	"chrI"	114782	114895	"+"	114809	30.0269584021787	14.4892843140325	114806	114828	23
173	"chrI"	115086	115322	"+"	115196	0.510753992516916	0.322581468958052	115160	115234	75
174	"chrI"	115352	115374	"+"	115374	0.215054312638702	0.107527156319351	115356	115374	19
176	"chrI"	116005	116144	"+"	116102	2.50000638442491	0.483872203437079	116054	116133	80
178	"chrI"	116440	116444	"+"	116444	0.241936101718539	0.134408945399189	116441	116444	4
182	"chrI"	119825	119914	"+"	119858	24.5699552189717	5.83334823032478	119855	119891	37
183	"chrI"	119951	120125	"+"	119960	5.29571244872803	1.98925239190799	119953	120075	123
184	"chrI"	120202	120367	"+"	120280	0.430108625277403	0.322581468958052	120224	120286	63
188	"chrI"	120766	120789	"+"	120767	0.268817890798377	0.134408945399189	120767	120774	8
205	"chrI"	123531	123553	"+"	123533	0.403226836197566	0.295699679878215	123533	123547	15
208	"chrI"	124756	124913	"+"	124782	254.032906804466	69.9195333966579	124782	124815	34
212	"chrI"	125757	125766	"+"	125764	1.18279871951286	0.94086261779432	125763	125764	2
213	"chrI"	125869	125917	"+"	125880	0.403226836197566	0.161290734479026	125880	125900	21
218	"chrI"	129193	129730	"+"	129244	47.1237762569555	6.82797442627878	129223	129445	223
222	"chrI"	130678	131334	"+"	130735	332.823430597471	152.36598050452	130706	130750	45
223	"chrI"	131387	131751	"+"	131718	0.241936101718539	0.322581468958052	131477	131718	242
224	"chrI"	132163	132298	"+"	132195	7.39249199695537	2.12366133730718	132185	132220	36
