ORF	gene_systematic_id_with_prefix	gene_name	chromosome_id	gene_product	uniprot_id	gene_type	synonyms	length.CDS	length.UTR5	length.UTR3	length.UTR5.Est	length.UTR3.Est	LengthTxEst
SPAC1002.01	PomBase:SPAC1002.01	mrx11	chromosome_1	mitochondrial expression network (MIOREX) component Mrx11	Q9US57	protein coding gene	SPAC1610.05	489	NA	NA	97	261	847
SPAC1002.02	PomBase:SPAC1002.02	pom34	chromosome_1	nucleoporin Pom34	Q9US56	protein coding gene	mug31	690	114	236	114	236	1040
SPAC1002.03c	PomBase:SPAC1002.03c	gls2	chromosome_1	glucosidase II alpha subunit Gls2	Q9US55	protein coding gene	NA	2772	87	297	87	297	3156
SPAC1002.04c	PomBase:SPAC1002.04c	taf11	chromosome_1	transcription factor TFIID complex subunit Taf11	Q9US54	protein coding gene	NA	600	86	149	86	149	835
SPAC1002.05c	PomBase:SPAC1002.05c	jmj2	chromosome_1	histone demethylase Jmj2	Q9US53	protein coding gene	kdm5	2148	NA	102	97	102	2347
SPAC1002.06c	PomBase:SPAC1002.06c	bqt2	chromosome_1	bouquet formation protein Bqt2	Q9US52	protein coding gene	mug18,rec23	357	NA	NA	97	261	715
SPAC1002.07c	PomBase:SPAC1002.07c	NA	chromosome_1	spermidine/spermine/histone N1-acetyltransferase	P79081	protein coding gene	ats1	507	42	246	42	246	795
SPAC1002.08c	PomBase:SPAC1002.08c	mtf1	chromosome_1	mitochondrial RNA polymerase specificity factor, predicted rRNA methyltransferase Mtf1	Q9US51	protein coding gene	NA	1101	207	543	207	543	1851
SPAC1002.09c	PomBase:SPAC1002.09c	dld1	chromosome_1	dihydrolipoamide dehydrogenase Dld1	O00087	protein coding gene	dldh	1536	72	725	72	725	2333
SPAC1002.10c	PomBase:SPAC1002.10c	sgt1	chromosome_1	snRNP binding protein Sgt1	Q9US49	protein coding gene	NA	1773	119	115	119	115	2007
SPAC1002.11	PomBase:SPAC1002.11	gaa1	chromosome_1	GPI-anchor transamidase complex subunit Gaa1	Q9US48	protein coding gene	NA	1746	154	160	154	160	2060
SPAC1002.12c	PomBase:SPAC1002.12c	NA	chromosome_1	succinate-semialdehyde dehydrogenase [NAD(P)+]	Q9US47	protein coding gene	NA	1497	81	213	81	213	1791
SPAC1002.13c	PomBase:SPAC1002.13c	psu1	chromosome_1	cell wall beta-glucosidase Psu1	Q9UR09	protein coding gene	NA	1254	241	535	241	535	2030
SPAC1002.14	PomBase:SPAC1002.14	itt1	chromosome_1	ubiquitin-protein ligase E3 involved in cytoplasmic translational termination	Q9US46	protein coding gene	NA	1308	202	156	202	156	1666
SPAC1002.15c	PomBase:SPAC1002.15c	med6	chromosome_1	mediator complex subunit Med6	Q9US45	protein coding gene	pmc5	651	57	1674	57	1674	2382
SPAC1002.16c	PomBase:SPAC1002.16c	tna1	chromosome_1	carboxylic acid transmembrane transporter Tna1	Q9US44	protein coding gene	NA	1500	348	259	348	259	2107
SPAC1002.17c	PomBase:SPAC1002.17c	urg2	chromosome_1	uracil phosphoribosyltransferase	Q9US43	protein coding gene	NA	570	18	403	18	403	991
SPAC1002.18	PomBase:SPAC1002.18	urg3	chromosome_1	DUF1688 family fungal conserved protein, implicated in uracil or riboflavin metabolism	Q9US42	protein coding gene	NA	1200	352	155	352	155	1707
SPAC1002.19	PomBase:SPAC1002.19	urg1	chromosome_1	GTP cyclohydrolase II Urg1	Q9US41	protein coding gene	NA	1320	215	272	215	272	1807
SPAC1002.20	PomBase:SPAC1002.20	NA	chromosome_1	dubious	Q9C121	protein coding gene	NA	306	NA	353	97	353	756
SPAC1006.01	PomBase:SPAC1006.01	psp3	chromosome_1	vacuolar serine protease Psp3	Q9UTS0	protein coding gene	NA	1356	322	176	322	176	1854
SPAC1006.02	PomBase:SPAC1006.02	asa1	chromosome_1	ASTRA complex WD repeat subunit Asa1	Q9UTR9	protein coding gene	NA	1107	104	196	104	196	1407
SPAC1006.03c	PomBase:SPAC1006.03c	red1	chromosome_1	MTREC (exosome adaptor) complex subunit Red1	Q9UTR8	protein coding gene	iss3	2139	26	281	26	281	2446
SPAC1006.04c	PomBase:SPAC1006.04c	mcp3	chromosome_1	Schizosaccharomyces specific protein Mcp3	Q9UTR7	protein coding gene	mug7	2859	NA	1034	97	1034	3990
SPAC1006.05c	PomBase:SPAC1006.05c	och1	chromosome_1	Golgi alpha-1,6-mannosyltransferase Och1	Q9UTR6	protein coding gene	NA	1191	145	897	145	897	2233
SPAC1006.06	PomBase:SPAC1006.06	rgf2	chromosome_1	RhoGEF for Rho1 Rgf2	Q9UTR5	protein coding gene	NA	3477	387	375	387	375	4239
SPAC1006.07	PomBase:SPAC1006.07	tif1	chromosome_1	translation initiation factor eIF4A tif1	P47943	protein coding gene	NA	1179	33	290	33	290	1502
SPAC1006.08	PomBase:SPAC1006.08	etd1	chromosome_1	Spg1-binding protein Etd1	Q9UTR4	protein coding gene	NA	1176	110	312	110	312	1598
SPAC1006.09	PomBase:SPAC1006.09	win1	chromosome_1	MAP kinase kinase kinase Win1	O74304	protein coding gene	SPAC1250.06c,SPAPJ730.01	4311	625	97	625	97	5033
SPAC1039.01	PomBase:SPAC1039.01	NA	chromosome_1	amino acid transmembrane transporter	Q9US40	protein coding gene	NA	1704	295	484	295	484	2483
SPAC1039.02	PomBase:SPAC1039.02	NA	chromosome_1	extracellular 5'-nucleotidase, human NT5E family	Q9US39	protein coding gene	NA	1806	49	120	49	120	1975
SPAC1039.03	PomBase:SPAC1039.03	NA	chromosome_1	esterase/lipase, implicated in cellular detoxification	Q9US38	protein coding gene	NA	1026	555	113	555	113	1694
SPAC1039.04	PomBase:SPAC1039.04	NA	chromosome_1	carboxylic acid transmembrane transporter	Q9US37	protein coding gene	NA	1524	288	232	288	232	2044
SPAC1039.05c	PomBase:SPAC1039.05c	klf1	chromosome_1	DNA-binding transcription factor, zf-fungal binuclear cluster type Klf1	Q9US36	protein coding gene	NA	2346	166	71	166	71	2583
SPAC1039.06	PomBase:SPAC1039.06	NA	chromosome_1	D-serine ammonia-lyase activity	Q9US35	protein coding gene	NA	1248	235	540	235	540	2023
SPAC1039.07c	PomBase:SPAC1039.07c	NA	chromosome_1	aminotransferase class-III, possible transaminase, unknown specificity, implicated in amino acid or cofactor metabolism	Q9US34	protein coding gene	NA	1347	24	325	24	325	1696
SPAC1039.08	PomBase:SPAC1039.08	NA	chromosome_1	serine acetyltransferase	Q9US33	protein coding gene	NA	813	205	112	205	112	1130
SPAC1039.09	PomBase:SPAC1039.09	isp5	chromosome_1	amino acid transmembrane transporter Isp5	P40901	protein coding gene	NA	1743	21	129	21	129	1893
SPAC1039.10	PomBase:SPAC1039.10	mmf2	chromosome_1	mitochondrial matrix protein, YjgF family protein Mmf2, reactive intermediate imine deaminase A homolog	Q9UR06	protein coding gene	hpm1,SPAC922.01	381	50	170	50	170	601
SPAC1039.11c	PomBase:SPAC1039.11c	gto1	chromosome_1	alpha-glucosidase	Q9URX4	protein coding gene	SPAC922.02c	2988	397	291	397	291	3676
SPAC105.01c	PomBase:SPAC105.01c	kha1	chromosome_1	plasma membrane potassium ion/proton antiporter Kha1	Q9P7I1	protein coding gene	NA	2670	166	303	166	303	3139
SPAC105.02c	PomBase:SPAC105.02c	ank1	chromosome_1	ankyrin repeat protein, protein phosphatase regulatory subunit	Q9P7I0	protein coding gene	NA	513	40	729	40	729	1282
SPAC105.03c	PomBase:SPAC105.03c	NA	chromosome_1	DNA-binding transcription factor	Q9P7H9	protein coding gene	NA	2127	121	450	121	450	2698
SPAC1071.01c	PomBase:SPAC1071.01c	pta1	chromosome_1	mRNA cleavage and polyadenylation specificity factor complex subunit Pta1	Q10222	protein coding gene	SPAC4H3.15c	2166	112	241	112	241	2519
SPAC1071.02	PomBase:SPAC1071.02	mms19	chromosome_1	CIA machinery protein Mms19	Q9UTR1	protein coding gene	NA	3057	205	143	205	143	3405
SPAC1071.03c	PomBase:SPAC1071.03c	sil1	chromosome_1	nucleotide exchange factor for the ER lumenal Hsp70 chaperone, Sil1	Q9UTR0	protein coding gene	NA	1017	NA	812	97	812	1926
SPAC1071.04c	PomBase:SPAC1071.04c	spc2	chromosome_1	signal peptidase subunit Spc2	Q9UTQ9	protein coding gene	NA	504	NA	NA	97	261	862
SPAC1071.05	PomBase:SPAC1071.05	hpm1	chromosome_1	ribosome methytransferase involved in ribosome assembly Hpm1	Q9UTQ8	protein coding gene	NA	1020	33	616	33	616	1669
