# Run started 2023-04-21 11:35:19.648581
# Command: ../../scripts/annotation/count_fasta_length.py Saccharomyces_cerevisiae.R64-1-1_transcriptome_padded_600up_30down_renamed.fasta Saccharomyces_cerevisiae.R64-1-1_transcriptome_padded_600up_30down_renamed.lengths.tsv
# Parameters:
#	in_file: Saccharomyces_cerevisiae.R64-1-1_transcriptome_padded_600up_30down_renamed.fasta
#	out_file: Saccharomyces_cerevisiae.R64-1-1_transcriptome_padded_600up_30down_renamed.lengths.tsv
ORF	Length
YAL069W	679
YAL068W-A	822
YAL068C	993
YAL067W-A	858
YAL067C	2412
YAL066W	939
YAL065C	1017
YAL064W-B	1011
YAL064C-A	1011
YAL064W	915
YAL063C-A	921
YAL063C	4599
YAL062W	2004
YAL061W	1884
YAL060W	1779
YAL059C-A	1053
YAL059W	1269
YAL058W	2139
YAL056C-A	981
YAL056W	3273
YAL055W	1173
YAL054C	2772
YAL053W	2982
YAL051W	3774
YAL049C	1371
YAL048C	2619
YAL047W-A	960
YAL047C	2499
YAL046C	987
YAL045C	939
YAL044W-A	963
YAL044C	1143
YAL043C	2988
YAL042C-A	1008
YAL042W	1878
YAL041W	3195
YAL040C	2373
YAL039C	1440
YAL038W	2133
YAL037C-B	1605
YAL037C-A	723
YAL037W	1434
YAL036C	1740
YAL035W	3639
YAL034C-B	984
YAL034W-A	1500
YAL034C	1872
YAL033W	1152
YAL032C	1770
YAL031W-A	939
YAL031C	2913
YAL030W	984
YAL029C	5046
YAL028W	2217
YAL027W	1416
YAL026C-A	1068
YAL026C	4698
YAL025C	1551
YAL024C	4938
YAL023C	2910
YAL022C	2184
YAL021C	3144
YAL020C	1632
YAL019W-A	1200
YAL019W	4026
YAL018C	1608
YAL017W	4701
YAL016C-B	816
YAL016C-A	945
YAL016W	2538
YAL015C	1830
YAL014C	1398
YAL013W	1848
YAL012W	1815
YAL011W	2508
YAL010C	2112
YAL009W	1410
YAL008W	1227
YAL007C	1278
YAL005C	2559
