# Run started 2022-06-16 21:31:43.654326
# Command: scripts/annotation/count_fasta_length.py src/genomes/sgd_20210427_rna_coding.fasta src/annotations/sgd_20210427_rna_coding_lengths.tsv
# Parameters:
#	in_file: src/genomes/sgd_20210427_rna_coding.fasta
#	out_file: src/annotations/sgd_20210427_rna_coding_lengths.tsv
ORF	Length
YNCA0001W	564
YNCA0002W	72
YNCA0003W	102
YNCA0004W	73
YNCA0005W	82
YNCA0006C	82
YNCB0001W	84
YNCB0002W	73
YNCB0003W	88
YNCB0004W	74
YNCB0005C	71
YNCB0006W	82
YNCB0007W	73
YNCB0008W	3841
YNCB0009C	161
YNCB0010W	1301
YNCB0011C	74
YNCB0012W	84
YNCB0013W	72
YNCB0014W	2024
YNCB0015W	72
YNCB0016W	72
YNCB0017C	72
YNCB0018W	72
YNCB0019C	1175
YNCC0001C	72
YNCC0002W	82
YNCC0003C	209
YNCC0004C	72
YNCC0005W	74
YNCC0006C	183
YNCC0007C	71
YNCC0008W	72
YNCC0009C	73
YNCC0010C	72
YNCC0011W	100
YNCC0012C	189
YNCC0013W	82
YNCC0014W	73
YNCD0001W	71
YNCD0002C	255
YNCD0003W	73
YNCD0004W	73
YNCD0005C	73
YNCD0006W	82
YNCD0007C	74
YNCD0008W	84
YNCD0009W	72
YNCD0010C	99
YNCD0011W	72
YNCD0012W	72
YNCD0013C	73
YNCD0014C	72
YNCD0015C	74
YNCD0016C	72
YNCD0017W	73
YNCD0018W	75
YNCD0019C	82
YNCD0020W	71
YNCD0021C	72
YNCD0022C	73
YNCD0023C	73
YNCD0024C	100
YNCD0025W	73
YNCD0026W	73
YNCD0027C	72
YNCD0028W	83
YNCD0029C	73
YNCD0030W	124
YNCD0031C	82
YNCD0032C	550
YNCE0001C	171
YNCE0002W	82
YNCE0003W	91
YNCE0004C	71
YNCE0005W	82
YNCE0006W	72
YNCE0007C	369
YNCE0008C	72
YNCE0009C	73
YNCE0010W	72
YNCE0011C	160
YNCE0012W	72
YNCE0013W	72
YNCE0014W	72
YNCE0015C	82
YNCE0016C	73
YNCE0017W	551
YNCE0018W	72
YNCE0019W	186
YNCE0020C	92
YNCE0021C	72
YNCE0022C	73
YNCE0023W	74
YNCE0024W	522
YNCE0025C	74
YNCE0026W	74
YNCE0027C	72
YNCE0028C	73
YNCE0029C	74
YNCF0001C	707
YNCF0002W	72
YNCF0003C	443
YNCF0004C	74
YNCF0005C	73
YNCF0006W	71
YNCF0007W	75
YNCF0008C	71
YNCF0009C	82
YNCF0010C	515
YNCF0011C	73
YNCF0012C	75
YNCF0013W	254
YNCF0014C	73
YNCG0001C	1905
YNCG0002C	74
YNCG0003C	72
YNCG0004W	73
YNCG0005W	73
YNCG0006C	2223
YNCG0007C	73
YNCG0008W	82
YNCG0009C	72
YNCG0010W	268
YNCG0011W	72
YNCG0012W	72
YNCG0013W	245
YNCG0014C	89
YNCG0015C	96
YNCG0016C	72
YNCG0017W	72
YNCG0018C	74
YNCG0019W	82
YNCG0020C	73
YNCG0021W	72
YNCG0022W	72
YNCG0023C	72
YNCG0024W	197
YNCG0025C	82
YNCG0026W	113
YNCG0027W	72
YNCG0028W	82
YNCG0029C	73
YNCG0030C	72
YNCG0031W	74
YNCG0032W	72
YNCG0033W	74
YNCG0034W	73
YNCG0035W	72
YNCG0036W	73
YNCG0037W	74
YNCG0038C	72
YNCG0039W	71
YNCG0040C	82
YNCG0041W	73
YNCG0042C	72
YNCG0043C	71
YNCG0044C	214
YNCG0045C	179
YNCG0046W	72
YNCH0001W	72
YNCH0002C	74
YNCH0003C	73
YNCH0004C	82
YNCH0005W	72
YNCH0006C	73
YNCH0007W	710
YNCH0008W	710
YNCH0009C	73
YNCH0010C	73
YNCH0011W	984
YNCH0012W	188
YNCH0013C	72
YNCH0014W	90
YNCH0015W	72
YNCH0016C	73
YNCI0001W	136
YNCI0002W	73
YNCI0003C	74
YNCI0004W	72
YNCI0005W	74
YNCI0006W	82
YNCI0007C	73
YNCI0008C	72
YNCI0009W	73
YNCI0010C	72
YNCI0011W	72
YNCI0012	3199
YNCI0013W	941
YNCJ0001C	73
YNCJ0002C	72
YNCJ0003C	126
YNCJ0004C	190
YNCJ0005C	73
YNCJ0006W	72
YNCJ0007C	386
YNCJ0008W	73
YNCJ0009C	104
YNCJ0010W	75
YNCJ0011W	72
YNCJ0012W	72
YNCJ0013C	72
YNCJ0014C	72
YNCJ0015W	74
YNCJ0016C	73
YNCJ0017C	71
YNCJ0018W	73
YNCJ0019C	72
YNCJ0020W	73
YNCJ0021C	84
YNCJ0022C	72
YNCJ0023C	82
YNCJ0024W	71
YNCJ0025W	72
YNCJ0026W	72
YNCJ0027C	75
YNCJ0028C	1489
YNCJ0029W	82
YNCJ0030W	194
YNCK0001W	101
YNCK0002C	72
YNCK0003W	74
YNCK0004W	84
YNCK0005C	72
YNCK0006C	72
YNCK0007W	73
YNCK0008W	73
YNCK0009W	95
YNCK0010W	72
YNCK0011C	74
YNCK0012C	72
YNCK0013W	101
YNCK0014W	74
YNCK0015C	109
YNCK0016W	82
YNCK0017W	73
YNCK0018C	72
YNCK0019W	73
YNCK0020C	351
YNCK0021W	73
YNCL0001W	72
YNCL0002C	82
YNCL0003W	606
YNCL0004C	73
YNCL0005C	84
YNCL0006W	112
YNCL0007W	73
YNCL0008W	72
YNCL0009C	72
YNCL0010C	5354
YNCL0012C	3396
YNCL0014C	158
YNCL0016C	1800
YNCL0018W	121
YNCL0020C	5354
YNCL0021C	3396
YNCL0023C	158
YNCL0025C	1800
YNCL0027W	119
YNCL0028W	119
YNCL0029W	119
YNCL0030W	119
YNCL0031W	121
YNCL0032C	82
YNCL0033C	73
YNCL0034W	82
YNCL0035C	73
YNCL0036C	74
YNCL0037W	82
YNCL0038W	74
YNCL0039W	80
YNCL0040W	72
YNCL0041C	90
YNCL0042C	98
YNCL0043C	88
YNCL0044W	72
YNCL0045W	72
YNCL0046W	211
YNCL0047W	73
YNCL0048W	203
YNCL0049C	84
YNCL0050C	74
YNCL0051C	74
YNCM0001W	3015
YNCM0002C	171
YNCM0003W	58
YNCM0004C	72
YNCM0005C	86
YNCM0006W	75
YNCM0007C	71
YNCM0008C	72
YNCM0009C	82
YNCM0010W	72
YNCM0011W	87
YNCM0012W	88
YNCM0013W	109
YNCM0014W	89
YNCM0015W	88
YNCM0016W	106
YNCM0017W	98
YNCM0018C	73
YNCM0019W	73
YNCM0020W	72
YNCM0021C	74
YNCM0022C	72
YNCM0023C	74
YNCM0024W	72
YNCM0025C	73
YNCM0026C	89
YNCM0027W	82
YNCM0028C	73
YNCM0029C	74
YNCM0030W	306
YNCM0031W	258
YNCM0032C	169
YNCM0033C	72
YNCM0034C	1004
YNCM0035C	73
YNCM0036C	72
YNCM0037W	75
YNCN0001W	97
YNCN0002C	72
YNCN0003W	74
YNCN0004W	73
YNCN0005C	568
YNCN0006W	73
YNCN0007W	82
YNCN0008C	71
YNCN0009W	72
YNCN0010C	73
YNCN0011W	72
YNCN0012C	74
YNCN0013W	340
YNCN0014W	86
YNCN0015W	74
YNCN0016C	72
YNCN0017W	74
YNCN0018W	165
YNCN0019C	274
YNCN0020C	84
YNCO0001C	72
YNCO0002W	73
YNCO0003C	96
YNCO0004C	71
YNCO0005W	74
YNCO0006W	201
YNCO0007W	90
YNCO0008W	82
YNCO0009W	71
YNCO0010W	75
YNCO0011W	72
YNCO0012C	73
YNCO0013C	73
YNCO0014C	187
YNCO0015C	100
YNCO0016W	73
YNCO0017W	72
YNCO0018W	74
YNCO0019W	72
YNCO0020C	72
YNCO0021C	74
YNCO0022C	182
YNCO0023W	72
YNCO0024C	204
YNCO0025W	333
YNCO0026W	190
YNCO0027C	225
YNCO0028W	204
YNCO0029C	73
YNCO0030W	73
YNCO0031W	72
YNCP0001C	72
YNCP0002W	3087
YNCP0003W	78
YNCP0004C	72
YNCP0005C	332
YNCP0006C	72
YNCP0007C	72
YNCP0008C	73
YNCP0009W	71
YNCP0010W	73
YNCP0011C	73
YNCP0012W	82
YNCP0013C	107
YNCP0014C	164
YNCP0015C	95
YNCP0016W	72
YNCP0017C	73
YNCP0018C	72
YNCP0019W	74
YNCP0020W	74
YNCP0021W	172
YNCP0022W	73
YNCP0023W	71
YNCP0024C	74
YNCQ0001W	72
YNCQ0002W	1649
YNCQ0003W	74
YNCQ0004W	72
YNCQ0005W	90
YNCQ0006W	3296
YNCQ0007W	76
YNCQ0008W	76
YNCQ0009W	75
YNCQ0010W	85
YNCQ0011W	76
YNCQ0012W	74
YNCQ0013W	73
YNCQ0014W	75
YNCQ0015W	75
YNCQ0016W	86
YNCQ0017W	74
YNCQ0018W	76
YNCQ0019W	76
YNCQ0020W	84
YNCQ0021W	71
YNCQ0022W	76
YNCQ0023W	75
YNCQ0024C	74
YNCQ0025W	76
YNCQ0026W	78
YNCQ0027W	483
