# S. cerevisiae 5' and 3' UTR estimates.
# 
# Extensive transcriptional heterogeneity revealed by isoform profiling
# Vicent Pelechano Wu Wei, & Lars M. Steinmetz, Nature 2013
# Supplementary Data 3, http://www.nature.com/nature/journal/v497/n7447/full/nature12121.html
# header annotated by Edward Wallace
# 
# Column key
#   chr: chromosome
#   strand: DAN strand (determined from annotation)
#   gene: systematic ORF name
#   type: Verified - this file only includes verified ORFs
#   mTIF_number: number of detected reads with median 5' UTR and median 3' UTR length
#   median5: median 5' UTR length
#   median3: median 3' UTR length
#   sd5: standard deviation of 5' UTR length (interquartile range would be better)
#   sd3: standard deviation of 3' UTR length
#
chr	strand	gene	type	mTIF_number	median5	median3	sd5	sd3
1	-	YAL067C	Verified	1	33	222	NA	NA
1	-	YAL063C-A	Uncharacterized	3	932	32	234.540685880581	180.133283987163
1	-	YAL054C	Verified	1	51	163	NA	NA
1	-	YAL049C	Verified	74	66	119	174.54993376684	28.0249003365666
1	-	YAL047C	Verified	11	29	55	14.5677102462323	6.40312423743285
1	-	YAL046C	Verified	30	24	122	33.6086332641638	12.7656147341297
1	-	YAL044C	Verified	39	14	89	186.873556304481	35.2509415461777
1	-	YAL043C	Verified	32	22	81	10.7669128022067	49.2366630869262
1	-	YAL040C	Verified	19	321	177	49.9849685007742	115.162331398333
1	-	YAL039C	Verified	45	56	69	30.2134995582365	76.1422578752655
1	-	YAL037C-A	Uncharacterized	1	192	55	NA	NA
1	-	YAL036C	Verified	45	37	193	11.8914705023	230.226524373827
1	-	YAL034C	Verified	81	620	114	186.496773711875	28.3414258595626
1	-	YAL032C	Verified	21	20	131	176.536196207544	8.81097800095616
1	-	YAL031C	Verified	8	41.5	125	16.359793921161	52.3380154108164
1	-	YAL029C	Verified	1	252	61	NA	NA
1	-	YAL026C	Verified	2	86	144	0	5.65685424949238
1	-	YAL025C	Verified	27	29	187	23.7832089012611	28.1784605865125
1	-	YAL023C	Verified	86	100	115	23.8180172981803	26.3360374260264
1	-	YAL022C	Verified	79	16	64	12.4784006831492	49.5769215031743
1	-	YAL021C	Verified	27	61	230	15.2500525429948	79.4169637486484
1	-	YAL020C	Verified	2	17	111.5	7.07106781186548	48.7903679018718
1	-	YAL018C	Uncharacterized	1	50	138	NA	NA
1	-	YAL015C	Verified	6	0	66.5	6.21825270205921	76.2218253957924
1	-	YAL014C	Verified	57	40	148	22.7871402198366	43.1629482339961
1	-	YAL010C	Verified	26	34	109	11.922828781537	177.603170449872
